Année;Canton;Infraction;Consommé Non élucidées;Consommé Elucidées;Tentative Non élucidées;Tentative Elucidées;CantonId;Id
2010;Zürich;Meurtre (Art. 111 – 113/116);0;14;0;27;1;1
2010;Zürich;Meurtre sur la demande de la victime (Art. 114);0;0;0;0;1;2
2010;Zürich;Incitation et assistance au suicide (Art. 115);0;0;0;0;1;3
2010;Zürich;Homicide par négligence (Art. 117);0;7;0;0;1;4
2010;Zürich;Interruption de grossesse punissable (Art. 118);0;1;0;2;1;5
2010;Zürich;Contraventions commises par le médecin (Art. 120);0;0;0;0;1;6
2010;Zürich;Lésions corporelles graves (Art. 122);32;128;0;7;1;7
2010;Zürich;Lésions corporelles simples (Art. 123);344;1224;3;23;1;8
2010;Zürich;Mutilation d'organes génitaux féminins (Art. 124);...;...;...;...;1;9
2010;Zürich;Lésions corporelles par négligence (Art. 125);66;70;0;0;1;10
2010;Zürich;Voies de fait (Art. 126);496;2447;0;0;1;11
2010;Zürich;Exposition (Art. 127);0;1;0;0;1;12
2010;Zürich;Omission de prêter secours (Art. 128);4;7;0;0;1;13
2010;Zürich;Fausse alerte (Art. 128bis);1;14;0;0;1;14
2010;Zürich;Mise en danger de la vie d'autrui (Art. 129);15;92;0;0;1;15
2010;Zürich;Participation rixe (Art. 133);3;274;0;0;1;16
2010;Zürich;Participation agression (Art. 134);132;418;0;4;1;17
2010;Zürich;Représentation de la violence (Art. 135);0;11;0;0;1;18
2010;Zürich;Remettre à des enfants des substances nocives (Art. 136);1;6;0;0;1;19
2010;Zürich;Total Titre 1: Vie et intégrité corporelle;1094;4714;3;63;1;20
2010;Zürich;Appropriation illégitime (Art. 137);774;147;0;0;1;21
2010;Zürich;Abus de confiance (Art. 138);28;821;1;0;1;22
2010;Zürich;Vol (Art. 139);10484;2250;22;23;1;23
2010;Zürich;Vol par effraction (Art. 139);6120;864;3478;330;1;24
2010;Zürich;Vol par introduction clandestine (Art. 139);2216;278;64;35;1;25
2010;Zürich;Vol à l'arrachée (Art. 139);175;31;13;6;1;26
2010;Zürich;Vol à l'étalage (Art. 139);367;2317;4;20;1;27
2010;Zürich;Vol à la tire (Art. 139);3937;107;3;8;1;28
2010;Zürich;Vol par astuce (Art. 139);700;77;19;8;1;29
2010;Zürich;Vol collocataire (Art. 139);2;27;0;0;1;30
2010;Zürich;Effraction de véhicule (Art. 139);1736;139;413;27;1;31
2010;Zürich;Vol de véhicule (Art. 139);6969;233;47;15;1;32
2010;Zürich;Vol sur/dans véhicule (Art. 139);941;101;28;16;1;33
2010;Zürich;Brigandage (Art. 140);339;205;47;33;1;34
2010;Zürich;Soustraction d'une chose mobilière (Art. 141);26;124;0;1;1;35
2010;Zürich;Utilisation sans droits de valeurs patrimoniales (Art. 141bis);2;3;0;0;1;36
2010;Zürich;Soustraction d' énergie (Art. 142);0;3;0;0;1;37
2010;Zürich;Soustraction de données (Art. 143);58;31;0;0;1;38
2010;Zürich;Accès indu à un système informatique (Art. 143bis);20;11;0;1;1;39
2010;Zürich;Dommages à la propriété (al. 1) (Art. 144);8947;2099;0;0;1;40
2010;Zürich;Dommages à la propriété + vol (Art. 144);11285;1292;0;0;1;41
2010;Zürich;Détérioration de données (Art.144bis);13;12;0;0;1;42
2010;Zürich;Détournement de choses frappées d'un droit de gage ou de rétention (Art. 145);0;0;0;0;1;43
2010;Zürich;Escroquerie (Art. 146);289;3478;132;127;1;44
2010;Zürich;Utilisation frauduleuse d'un ordinateur (Art. 147);621;321;264;57;1;45
2010;Zürich;Abus de cartes-chèques et cartes crédit (Art. 148);3;2;0;0;1;46
2010;Zürich;Obtention illicite de prestations d'une assurance sociale ou de l'aide sociale (Art. 148a);...;...;...;...;1;47
2010;Zürich;Filouterie dauberge (Art. 149);7;45;0;0;1;48
2010;Zürich;Obtention frauduleuse d'une prestation (Art. 150);2;125;1;3;1;49
2010;Zürich;Fabrication/mise sur marché équipements serv. à décoder frauduleusement (Art. 150bis);0;3;0;0;1;50
2010;Zürich;Atteinte astucieuse (Art. 151);3;7;2;0;1;51
2010;Zürich;Faux renseignements sur des entreprises commerciales (Art. 152);0;4;0;0;1;52
2010;Zürich;Fausses communications aux autorités chargées du registre du commerce (Art. 153);0;7;0;0;1;53
2010;Zürich;Falsification de marchandises (Art. 155);1;7;0;0;1;54
2010;Zürich;Extorsion et chantage (Art. 156);7;59;3;12;1;55
2010;Zürich;Usure (Art. 157);2;5;0;0;1;56
2010;Zürich;Gestion déloyale (Art. 158);1;40;0;0;1;57
2010;Zürich;Détournement de retenues sur le salaire (Art. 159);0;6;0;0;1;58
2010;Zürich;Recel (Art. 160);7;285;0;3;1;59
2010;Zürich;Exploitation de la connaissance de faits confidentiels (Art. 161);1;1;0;0;1;60
2010;Zürich;Manipulation de cours (Art. 161bis);0;0;0;0;1;61
2010;Zürich;Violation du secret de fabrication ou du secret commercial (Art. 162);0;7;0;0;1;62
2010;Zürich;Banqueroute fraud. et fraude saisie (Art. 163);0;35;0;0;1;63
2010;Zürich;Diminution effective de l'actif au préjudice des créanciers (Art. 164);0;6;0;0;1;64
2010;Zürich;Gestion fautive (Art. 165);0;17;0;0;1;65
2010;Zürich;Violation de l'obligation de tenir une comptabilité (Art. 166);0;18;0;0;1;66
2010;Zürich;Avantages accord. à certains créanciers (Art. 167);0;2;0;0;1;67
2010;Zürich;Subornation dans l'exécution forcée (Art. 168);0;0;0;0;1;68
2010;Zürich;Détournement valeurs patrimoniales (Art. 169);0;27;0;1;1;69
2010;Zürich;Obtention frauduleuse d'un concordat judiciaire (Art. 170);0;0;0;0;1;70
2010;Zürich;Total Titre 2: Patrimoine;56083;15679;4541;726;1;71
2010;Zürich;Diffamation (Art. 173);1;5;0;0;1;72
2010;Zürich;Calomnie (Art. 174);1;9;0;0;1;73
2010;Zürich;Diffamation et calomnie contre un mort ou un absent (Art. 175);0;0;0;0;1;74
2010;Zürich;Injure (Art. 177);5;23;0;0;1;75
2010;Zürich;Violation contre le domaine secret ou le domaine privé (Art. 179);20;27;0;0;1;76
2010;Zürich;Ecoute et enregistrement de conversations entre d'autres personnes (Art. 179bis);0;3;0;0;1;77
2010;Zürich;Enregistrement non autorisé de conversations (Art. 179ter);0;4;0;1;1;78
2010;Zürich;Violation du domaine secret/privé au moyen d'un appareil de prise de vues (Art. 179quater);8;15;1;0;1;79
2010;Zürich;Mise en circulation et réclame d'appareils d'écoute, prise de son et de vues (Art. 179sexies);0;0;0;0;1;80
2010;Zürich;Utilisation abusive d'une installation de télécommunication (Art. 179septies);74;376;0;0;1;81
2010;Zürich;Soustraction de données personnelles (Art. 179novies);0;4;0;0;1;82
2010;Zürich;Total Titre 3: Honneur, domaine secret/privé;109;466;1;1;1;83
2010;Zürich;Menaces (Art. 180);168;1528;3;2;1;84
2010;Zürich;Contrainte (Art. 181);38;570;14;61;1;85
2010;Zürich;Mariage forcé, partenariat forcé (Art. 181a);...;...;...;...;1;86
2010;Zürich;Traite d'êtres humains (Art. 182);5;22;0;0;1;87
2010;Zürich;Séquestration et enlèvements (Art. 183);15;57;0;2;1;88
2010;Zürich;Circonstances aggravantes (Art. 184);0;0;0;0;1;89
2010;Zürich;Prise d'otage (Art. 185);1;0;0;0;1;90
2010;Zürich;Violation de domicile (Art. 186);403;769;0;0;1;91
2010;Zürich;Violation domicile + vol (Art. 186);10711;1773;26;3;1;92
2010;Zürich;Total Titre 4:Liberté;11341;4719;43;68;1;93
2010;Zürich;Actes d'ordre sexuel avec des enfants (Art. 187);48;163;6;12;1;94
2010;Zürich;Actes d'ordre sexuel avec des personnes dépendantes (Art. 188);0;3;0;0;1;95
2010;Zürich;Contrainte sexuelle (Art. 189);47;145;3;7;1;96
2010;Zürich;Viol (Art. 190);17;104;4;11;1;97
2010;Zürich;Actes d'ordre sexuel sur une personne incapable de discernement ou de résistance (Art. 191);5;24;0;0;1;98
