moyenAge;Population total;Population résidante permanente;Suisse;Homme;Femme;Titulaire d'une autorisation de séjour (B);Titulaire d'une autorisation d'établissement (C);Titulaire d'une autorisation de séjour avec activité lucrative (Ci);Personne admise à titre provisoire (F);Titulaire d'une autorisation de séjour de courte durée (L);Requérant d'asile (N);Diplomate, fonctionnaire international avec immunité diplomatique;Fonctionnaire international sans immunité diplomatique;Pas attribué;Population résidante non permanente;Id;Canton;Année
40.57132245617584;1383940;1373068;1042311;685601;698339;124141;197626;13;4462;12774;2326;222;7;58;10872;1;Zürich;2010
42.1519394553045;986643;979802;848100;482121;504522;39716;83601;72;3157;6991;1595;1989;310;1112;6841;2;Bern / Berne;2010
39.91222708343205;379878;377610;314720;188323;191555;21064;39585;0;1379;2050;703;1;1;375;2268;3;Luzern;2010
41.186615186615185;35742;35422;31971;18199;17543;1328;1827;0;79;446;73;0;0;18;320;4;Uri;2010
40.10178457875012;147822;146730;119389;75585;72237;8233;18164;0;383;1416;236;0;1;0;1092;5;Schwyz;2010
39.93505266375789;35983;35585;30821;18261;17722;2060;2464;0;86;464;86;0;0;2;398;6;Obwalden;2010
41.25373351435221;41248;41024;36353;21031;20217;1949;2459;0;112;304;70;0;1;0;224;7;Nidwalden;2010
41.406751097947094;39164;38608;30731;19822;19342;2099;5471;0;113;661;89;0;0;0;556;8;Glarus;2010
40.37725582819402;114315;113105;86327;57887;56428;10534;15636;0;296;1303;217;2;0;0;1210;9;Zug;2010
38.55815263707777;280443;278493;227664;139770;140673;17801;31425;4;762;2206;417;18;28;118;1950;10;Fribourg / Freiburg;2010
41.70921566031417;256802;255284;204849;127409;129393;10746;38434;1;733;1474;450;0;13;102;1518;11;Solothurn;2010
43.35094753544938;187803;184950;124865;90220;97583;21703;36525;25;328;3383;396;16;561;1;2853;12;Basel-Stadt;2010
42.61001631912965;275750;274404;221413;135171;140579;14252;36970;24;907;1393;543;0;234;14;1346;13;Basel-Landschaft;2010
42.51856803520204;77041;76356;58705;37987;39054;5293;12004;0;176;708;144;0;0;11;685;14;Schaffhausen;2010
41.474470804978004;53194;53017;45504;26773;26421;2199;5117;0;105;156;112;0;0;1;177;15;Appenzell Ausserrhoden;2010
