Infractions enregistrées par la police selon le Code pénal, le canton, le degré de réalisation et le degré d'élucidation;;;;;;
;;;;;;
Année;Canton;Degré de réalisation - Total Degré d'élucidation - Total;Degré de réalisation - Total Non élucidées;Degré de réalisation - Total Elucidées 
2010;Zürich;108220;74285;33935 
2010;Bern / Berne;61634;44542;17092 
2010;Luzern;21524;14547;6977 
2010;Uri;1031;799;232 
2010;Schwyz;4526;2951;1575 
2010;Obwalden;1317;833;484 
2010;Nidwalden;1208;784;424 
2010;Glarus;1451;817;634 
2010;Zug;6526;4391;2135 
2010;Fribourg / Freiburg;15337;10926;4411 
2010;Solothurn;16472;11497;4975 
2010;Basel-Stadt;19812;12822;6990 
2010;Basel-Landschaft;13139;10236;2903 
2010;Schaffhausen;3932;2072;1860 
2010;Appenzell Ausserrhoden;2145;832;1313 
2010;Appenzell Innerrhoden;539;317;222 
2010;St. Gallen;23286;15168;8118 
2010;Graubünden / Grigioni / Grischun;8427;5740;2687 
2010;Aargau;31726;20154;11572 
2010;Thurgau;10073;7251;2822 
2010;Ticino;19551;12871;6680 
2010;Vaud;59396;49616;9780 
2010;Valais / Wallis;15155;10239;4916 
2010;Neuchâtel;13487;7719;5768 
2010;Genève;61910;47988;13922 
2010;Jura;3336;2149;1187 
2011;Zürich;107026;76986;30040 
2011;Bern / Berne;64774;47842;16932 
2011;Luzern;24219;16960;7259 
2011;Uri;918;759;159 
2011;Schwyz;4805;3025;1780 
2011;Obwalden;1495;927;568 
2011;Nidwalden;1161;720;441 
2011;Glarus;1318;802;516 
2011;Zug;6760;4927;1833 
2011;Fribourg / Freiburg;14209;10417;3792 
2011;Solothurn;16751;11879;4872 
2011;Basel-Stadt;22048;14479;7569 
2011;Basel-Landschaft;12872;10275;2597 
2011;Schaffhausen;3383;1895;1488 
2011;Appenzell Ausserrhoden;2113;715;1398 
2011;Appenzell Innerrhoden;365;245;120 
2011;St. Gallen;23389;15653;7736 
2011;Graubünden / Grigioni / Grischun;8224;5821;2403 
2011;Aargau;32976;22120;10856 
2011;Thurgau;10509;7533;2976 
2011;Ticino;20671;14448;6223 
2011;Vaud;70392;56162;14230 
2011;Valais / Wallis;15332;11161;4171 
2011;Neuchâtel;14659;9253;5406 
2011;Genève;72821;60346;12475 
2011;Jura;3693;2580;1113 
2012;Zürich;118387;85654;32733 
2012;Bern / Berne;69004;51029;17975 
2012;Luzern;24519;17748;6771 
2012;Uri;1164;959;205 
2012;Schwyz;4983;2917;2066 
2012;Obwalden;1752;933;819 
2012;Nidwalden;1322;935;387 
2012;Glarus;1322;797;525 
2012;Zug;6408;4539;1869 
2012;Fribourg / Freiburg;19024;11944;7080 
2012;Solothurn;19834;13531;6303 
2012;Basel-Stadt;27052;18977;8075 
2012;Basel-Landschaft;13938;11335;2603 
2012;Schaffhausen;3580;1855;1725 
2012;Appenzell Ausserrhoden;2823;1146;1677 
2012;Appenzell Innerrhoden;370;224;146 
2012;St. Gallen;24632;16278;8354 
2012;Graubünden / Grigioni / Grischun;8890;6080;2810 
2012;Aargau;34999;22564;12435 
2012;Thurgau;11642;8116;3526 
2012;Ticino;22092;15759;6333 
2012;Vaud;83380;67192;16188 
2012;Valais / Wallis;18368;12883;5485 
2012;Neuchâtel;16624;10103;6521 
2012;Genève;66423;54004;12419 
2012;Jura;4368;2881;1487 
2013;Zürich;107770;76529;31241 
2013;Bern / Berne;67222;50531;16691 
2013;Luzern;24764;17310;7454 
2013;Uri;1202;934;268 
2013;Schwyz;5474;3462;2012 
2013;Obwalden;1373;754;619 
2013;Nidwalden;1257;752;505 
2013;Glarus;1375;862;513 
2013;Zug;6238;4408;1830 
2013;Fribourg / Freiburg;18777;12217;6560 
2013;Solothurn;18014;12938;5076 
2013;Basel-Stadt;24040;16873;7167 
2013;Basel-Landschaft;15504;12264;3240 
2013;Schaffhausen;3325;1855;1470 
2013;Appenzell Ausserrhoden;2089;794;1295 
2013;Appenzell Innerrhoden;370;194;176 
2013;St. Gallen;21866;14437;7429 
2013;Graubünden / Grigioni / Grischun;8183;5610;2573 
2013;Aargau;34290;20198;14092 
2013;Thurgau;11822;7403;4419 
2013;Ticino;22335;15361;6974 
2013;Vaud;78536;62163;16373 
2013;Valais / Wallis;17100;11555;5545 
2013;Neuchâtel;16006;10127;5879 
2013;Genève;59170;46363;12807 
2013;Jura;4532;2865;1667 
2014;Zürich;99031;69058;29973 
2014;Bern / Berne;58826;43173;15653 
2014;Luzern;22509;15631;6878 
2014;Uri;1031;798;233 
2014;Schwyz;4653;2947;1706 
2014;Obwalden;1539;897;642 
2014;Nidwalden;1443;927;516 
2014;Glarus;1514;902;612 
2014;Zug;6388;4579;1809 
2014;Fribourg / Freiburg;16446;10004;6442 
2014;Solothurn;16321;11325;4996 
2014;Basel-Stadt;21485;13990;7495 
2014;Basel-Landschaft;15496;12307;3189 
2014;Schaffhausen;3865;2242;1623 
2014;Appenzell Ausserrhoden;2076;821;1255 
2014;Appenzell Innerrhoden;388;233;155 
2014;St. Gallen;20242;13096;7146 
2014;Graubünden / Grigioni / Grischun;8196;5360;2836 
2014;Aargau;32168;18164;14004 
2014;Thurgau;11551;6827;4724 
2014;Ticino;19001;12813;6188 
2014;Vaud;71967;55221;16746 
2014;Valais / Wallis;13843;8796;5047 
2014;Neuchâtel;14462;8577;5885 
2014;Genève;55244;42181;13063 
2014;Jura;3604;2216;1388 
2015;Zürich;92468;63324;29144 
2015;Bern / Berne;55935;39620;16315 
2015;Luzern;20523;13954;6569 
2015;Uri;640;486;154 
2015;Schwyz;4122;2487;1635 
2015;Obwalden;1408;746;662 
2015;Nidwalden;1073;542;531 
2015;Glarus;1219;686;533 
2015;Zug;5376;3791;1585 
2015;Fribourg / Freiburg;15589;8943;6646 
2015;Solothurn;16018;9877;6141 
2015;Basel-Stadt;20961;13651;7310 
2015;Basel-Landschaft;12792;9866;2926 
